"domainID","siteID","uid","software","locationID","collectDate","spectralSampleID","spectralSampleCode","downloadFileUrl","downloadFileName","processedBy","reviewedBy","remarks","dataQF","publicationDate","release"
"D04","GUAN","d9364e7b-a7f9-4b91-97fc-2b0efe788cb5","LeafClip.m-svn-12716","GUAN_043.basePlot.cfc","2022-10-17T17:31Z","FSP_GUAN_20221017_1249",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_124920230314T204816.494Z.csv","FSP_GUAN_20221017_124920230314T204816.494Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 043",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","92175938-7d73-43b2-bd9b-04d911c0abd7","LeafClip.m-svn-12716","GUAN_043.basePlot.cfc","2022-10-17T17:38Z","FSP_GUAN_20221017_1345",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_134520230314T205636.500Z.csv","FSP_GUAN_20221017_134520230314T205636.500Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 043",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","27c33d8d-d887-4cc3-840c-b38a07f02912","LeafClip.m-svn-12716","GUAN_052.basePlot.cfc","2022-10-17T17:48Z","FSP_GUAN_20221017_1410",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_141020230314T210545.383Z.csv","FSP_GUAN_20221017_141020230314T210545.383Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 052",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","9aee61df-9a4c-4555-a4bb-58f4833f9419","LeafClip.m-svn-12716","GUAN_043.basePlot.cfc","2022-10-17T18:16Z","FSP_GUAN_20221017_1433",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_143320230314T210714.262Z.csv","FSP_GUAN_20221017_143320230314T210714.262Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 043",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","8b7d2a8c-5c2b-4f83-b060-c7582ba5c8bc","LeafClip.m-svn-12716","GUAN_043.basePlot.cfc","2022-10-17T18:16Z","FSP_GUAN_20221017_1445",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_144520230314T210800.606Z.csv","FSP_GUAN_20221017_144520230314T210800.606Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 043",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","487ec133-19d3-4f4f-85cf-c409ca19830c","LeafClip.m-svn-12716","GUAN_043.basePlot.cfc","2022-10-17T18:50Z","FSP_GUAN_20221017_1453",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_145320230314T210922.782Z.csv","FSP_GUAN_20221017_145320230314T210922.782Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 043 - not VST or CFC sample",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","bb1555e3-f015-4bb9-bad8-e743e558c04f","LeafClip.m-svn-12716","GUAN_013.basePlot.cfc","2022-10-17T19:30Z","FSP_GUAN_20221017_0932",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_093220230314T193833.925Z.csv","FSP_GUAN_20221017_093220230314T193833.925Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 013",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","593479dd-2eec-41f4-8f0e-af4776c35822","LeafClip.m-svn-12716","GUAN_013.basePlot.cfc","2022-10-17T19:31Z","FSP_GUAN_20221017_0959",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_095920230314T204313.697Z.csv","FSP_GUAN_20221017_095920230314T204313.697Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 013",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","10173ddd-14da-4653-90ae-dc76c5a07539","LeafClip.m-svn-12716","GUAN_013.basePlot.cfc","2022-10-17T19:33Z","FSP_GUAN_20221017_0940",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_094020230314T204118.964Z.csv","FSP_GUAN_20221017_094020230314T204118.964Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 013",NA,"20241118T013955Z","RELEASE-2025"
"D04","GUAN","749c9343-76df-48cd-8cd4-6c8a99913116","LeafClip.m-svn-12716","GUAN_013.basePlot.cfc","2022-10-17T19:34Z","FSP_GUAN_20221017_0954",NA,"https://storage.neonscience.org/neon-os-data/data-frame/FSP_GUAN_20221017_095420230314T204208.419Z.csv","FSP_GUAN_20221017_095420230314T204208.419Z.csv","bhass@battelleecology.org",NA,"GUAN Plot 013",NA,"20241118T013955Z","RELEASE-2025"
